File created on 06/10/2010 at 11:41:52

[header]
satellites
time
latitude
longitude
height

[channel units]

[comments]
Log Rate (Hz) : 1
Software Version : 1.9.8 (Build 004)
Created from KML File
Track Offset (metres):0.00;0.00

[column names]
sats time lat long height 
[data]
020 000000.00 +02640.09222 -00682.56342 +00320.25 
020 000000.00 +02640.09162 -00682.56336 +00320.30 
020 000000.00 +02640.09102 -00682.56330 +00320.35 
020 000000.00 +02640.09036 -00682.56324 +00320.41 
020 000000.00 +02640.08976 -00682.56318 +00320.45 
020 000000.00 +02640.08916 -00682.56318 +00320.51 
020 000000.00 +02640.08856 -00682.56318 +00320.56 
020 000000.00 +02640.08796 -00682.56324 +00320.60 
020 000000.00 +02640.08730 -00682.56330 +00320.66 
020 000000.00 +02640.08670 -00682.56336 +00320.71 
020 000000.00 +02640.08610 -00682.56342 +00320.78 
020 000000.00 +02640.08550 -00682.56354 +00320.85 
020 000000.00 +02640.08490 -00682.56366 +00320.90 
020 000000.00 +02640.08430 -00682.56384 +00320.95 
020 000000.00 +02640.08370 -00682.56402 +00321.00 
020 000000.00 +02640.08316 -00682.56420 +00321.05 
020 000000.00 +02640.08256 -00682.56444 +00321.11 
020 000000.00 +02640.08202 -00682.56468 +00321.14 
020 000000.00 +02640.08142 -00682.56492 +00321.20 
020 000000.00 +02640.08082 -00682.56522 +00321.26 
020 000000.00 +02640.08028 -00682.56552 +00321.33 
020 000000.00 +02640.07968 -00682.56582 +00321.40 
020 000000.00 +02640.07914 -00682.56618 +00321.44 
020 000000.00 +02640.07860 -00682.56654 +00321.47 
020 000000.00 +02640.07800 -00682.56690 +00321.48 
020 000000.00 +02640.07746 -00682.56732 +00321.51 
020 000000.00 +02640.07692 -00682.56774 +00321.55 
020 000000.00 +02640.07638 -00682.56816 +00321.56 
020 000000.00 +02640.07584 -00682.56864 +00321.57 
020 000000.00 +02640.07524 -00682.56906 +00321.60 
020 000000.00 +02640.07476 -00682.56960 +00321.63 
020 000000.00 +02640.07422 -00682.57008 +00321.67 
