File created on 20/04/2007 at 10:23:46

[header]
satellites
time
latitude
longitude
YAW__
YAW_

[channel units]



[comments]
Log Rate (Hz) : 1
Software Version : 1.7.1 (Build 045)
Created from KML File

[column names]
sats time lat long YAW__ YAW_ 
[data]
020 000000.00 +03124.73868 +00060.71652 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73838 +00060.71544 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73814 +00060.71430 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73784 +00060.71322 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73754 +00060.71214 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73730 +00060.71106 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73694 +00060.70998 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73664 +00060.70890 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73634 +00060.70788 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73598 +00060.70680 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73568 +00060.70572 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73532 +00060.70470 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73496 +00060.70362 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73460 +00060.70260 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73424 +00060.70152 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73388 +00060.70050 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73346 +00060.69948 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73310 +00060.69846 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73268 +00060.69744 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73226 +00060.69642 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73184 +00060.69546 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73142 +00060.69444 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73100 +00060.69342 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73058 +00060.69246 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.73010 +00060.69150 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72968 +00060.69054 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72920 +00060.68958 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72872 +00060.68862 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72824 +00060.68766 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72776 +00060.68676 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72728 +00060.68586 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72680 +00060.68490 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72626 +00060.68400 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72578 +00060.68316 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72524 +00060.68226 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72470 +00060.68136 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72416 +00060.68052 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72362 +00060.67968 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72302 +00060.67890 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72248 +00060.67806 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72194 +00060.67728 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72146 +00060.67656 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72092 +00060.67578 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.72032 +00060.67506 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.71972 +00060.67428 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.71912 +00060.67350 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.71852 +00060.67278 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.71786 +00060.67206 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.71726 +00060.67134 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.71660 +00060.67068 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.71594 +00060.66996 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.71528 +00060.66930 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.71468 +00060.66864 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.71402 +00060.66798 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.71330 +00060.66732 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.71264 +00060.66672 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.71198 +00060.66612 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.71126 +00060.66552 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.71060 +00060.66492 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.70988 +00060.66432 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.70922 +00060.66378 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.70850 +00060.66324 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.70778 +00060.66264 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.70706 +00060.66210 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.70634 +00060.66162 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.70562 +00060.66108 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.70490 +00060.66054 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.70418 +00060.66006 +0.00000E+00 +0.00000E+00 
020 000000.00 +03124.70340 +00060.65958 +0.00000E+00 +0.00000E+00 
