File created on 3/23/2011 at 2:28:02 PM

[header]
satellites
time
latitude
longitude
height

[channel units]

[comments]
Log Rate (Hz) : 1
Software Version : 1.9.8 (Build 004)
Created from KML File
Track Offset (metres):0.00;0.00

[column names]
sats time lat long height 
[data]
020 000000.00 +02737.20156 -00557.09276 +00000.00 
020 000000.00 +02737.17351 -00557.08792 +00000.00 
020 000000.00 +02737.14508 -00557.08372 +00000.00 
020 000000.00 +02737.09437 -00557.07645 +00000.00 
020 000000.00 +02737.03495 -00557.06774 +00000.00 
020 000000.00 +02736.97515 -00557.05870 +00000.00 
020 000000.00 +02736.85230 -00557.04054 +00000.00 
020 000000.00 +02736.75235 -00557.02565 +00000.00 
020 000000.00 +02736.74599 -00557.02477 +00000.00 
020 000000.00 +02736.74028 -00557.02248 +00000.00 
020 000000.00 +02736.73555 -00557.02012 +00000.00 
020 000000.00 +02736.73129 -00557.01734 +00000.00 
020 000000.00 +02736.72625 -00557.01203 +00000.00 
020 000000.00 +02736.72147 -00557.00558 +00000.00 
020 000000.00 +02736.71767 -00556.99862 +00000.00 
020 000000.00 +02736.71539 -00556.99338 +00000.00 
020 000000.00 +02736.71271 -00556.98650 +00000.00 
020 000000.00 +02736.71082 -00556.97905 +00000.00 
020 000000.00 +02736.70962 -00556.97295 +00000.00 
020 000000.00 +02736.70884 -00556.96583 +00000.00 
020 000000.00 +02736.70878 -00556.95853 +00000.00 
020 000000.00 +02736.70921 -00556.95060 +00000.00 
020 000000.00 +02736.71017 -00556.94235 +00000.00 
020 000000.00 +02736.71207 -00556.93367 +00000.00 
020 000000.00 +02736.71392 -00556.92704 +00000.00 
020 000000.00 +02736.71595 -00556.92056 +00000.00 
020 000000.00 +02736.71822 -00556.91407 +00000.00 
020 000000.00 +02736.72056 -00556.90815 +00000.00 
020 000000.00 +02736.72363 -00556.90179 +00000.00 
020 000000.00 +02736.72735 -00556.89490 +00000.00 
020 000000.00 +02736.73059 -00556.89013 +00000.00 
020 000000.00 +02736.73453 -00556.88446 +00000.00 
020 000000.00 +02736.73894 -00556.87919 +00000.00 
020 000000.00 +02736.74313 -00556.87445 +00000.00 
020 000000.00 +02736.74816 -00556.86929 +00000.00 
020 000000.00 +02736.75710 -00556.86172 +00000.00 
020 000000.00 +02736.76769 -00556.85479 +00000.00 
020 000000.00 +02736.77737 -00556.85002 +00000.00 
020 000000.00 +02736.78706 -00556.84615 +00000.00 
020 000000.00 +02736.79415 -00556.84389 +00000.00 
020 000000.00 +02736.80343 -00556.84148 +00000.00 
020 000000.00 +02736.81179 -00556.84019 +00000.00 
020 000000.00 +02736.81877 -00556.83946 +00000.00 
020 000000.00 +02736.83313 -00556.83876 +00000.00 
020 000000.00 +02736.86054 -00556.83807 +00000.00 
020 000000.00 +02736.89008 -00556.83725 +00000.00 
020 000000.00 +02736.91447 -00556.83697 +00000.00 
020 000000.00 +02736.92956 -00556.83730 +00000.00 
020 000000.00 +02736.94747 -00556.83859 +00000.00 
020 000000.00 +02736.96664 -00556.84110 +00000.00 
020 000000.00 +02737.00046 -00556.84644 +00000.00 
020 000000.00 +02737.07945 -00556.85735 +00000.00 
020 000000.00 +02737.13890 -00556.86606 +00000.00 
020 000000.00 +02737.13774 -00556.87490 +00000.00 
020 000000.00 +02737.16827 -00556.87929 +00000.00 
020 000000.00 +02737.23532 -00556.88905 +00000.00 
020 000000.00 +02737.32712 -00556.89876 +00000.00 
020 000000.00 +02737.46345 -00556.91666 +00000.00 
020 000000.00 +02737.46591 -00556.91715 +00000.00 
020 000000.00 +02737.46787 -00556.91754 +00000.00 
020 000000.00 +02737.46934 -00556.91828 +00000.00 
020 000000.00 +02737.47045 -00556.91960 +00000.00 
020 000000.00 +02737.47110 -00556.92107 +00000.00 
020 000000.00 +02737.47148 -00556.92367 +00000.00 
020 000000.00 +02737.47133 -00556.92654 +00000.00 
020 000000.00 +02737.47111 -00556.93016 +00000.00 
020 000000.00 +02737.47092 -00556.93428 +00000.00 
020 000000.00 +02737.47087 -00556.93791 +00000.00 
020 000000.00 +02737.47120 -00556.94152 +00000.00 
020 000000.00 +02737.47243 -00556.94542 +00000.00 
020 000000.00 +02737.47461 -00556.94859 +00000.00 
020 000000.00 +02737.47700 -00556.95123 +00000.00 
020 000000.00 +02737.48062 -00556.95256 +00000.00 
020 000000.00 +02737.48346 -00556.95193 +00000.00 
020 000000.00 +02737.48641 -00556.95075 +00000.00 
020 000000.00 +02737.51070 -00556.94190 +00000.00 
020 000000.00 +02737.52980 -00556.93456 +00000.00 
020 000000.00 +02737.53480 -00556.93302 +00000.00 
020 000000.00 +02737.54093 -00556.93145 +00000.00 
020 000000.00 +02737.54713 -00556.93002 +00000.00 
020 000000.00 +02737.55424 -00556.92917 +00000.00 
020 000000.00 +02737.56112 -00556.92843 +00000.00 
